
		        This is a lab on completely filled arrays           
		             with randomly generated numbers                
		      the SAME load function is used to load BOTH arrays    
		      the SAME print function is used to print BOTH arrays  
		                  by Praladh chaulagain                     
3931	6778	13595	7915	11096	
936	12381	15872	31686	26769	
24904	25997	3934	17527	31459	31978	21411	4863	15493	12945	
15430	20621	24756	26041	8426	4233	7750	24244	
8748	17517	26331	13933	27606	17706	23220	19186	
26453	3016	11977	23855	29294	23884	14613	15356	
28204	28126	5941	8283	14877	16171	9009	7930	
28606	15881	10906	21248	29235	25433	7125	9734	
9787	23602	7606	22882	26212	32060	17745	13484	
1915	1369	24076	32123	327	29579	30713	7280	
3959	29714	12387	4982	24280	10452	26791	10567	
6859	20738	24389	28211	28407	5113	24375	32285	
20795	29542	31106	9158	10214	10414	32010	16718	
8235	29069	8362	8695	18639	4093	4996	6445	
17701	345	26518	4803	
